locus	location	chrom	gene	aliases	biotype	sources	ensid	ld_block_index	ld_block
34	1q32.1	1	IL19		protein_coding	closest	ENSG00000142224	105	chr1:206268085-208237019
36	1q42.3	1	LYST		protein_coding	candidate;closest	ENSG00000143669	122	chr1:235656136-237392328
37	1q44	1	SMYD3		protein_coding	closest	ENSG00000185420	130	chr1:245343444-247181216
40	2p23.1	2	LBH		protein_coding	candidate;closest	ENSG00000213626	757	chr2:30240845-31327584
44	2p14	2	LINC02934		lncRNA	closest	ENSG00000204929	780	chr2:64398779-65706310
44	2p14	2	SPRED2		protein_coding	candidate;closest	ENSG00000198369	780	chr2:64398779-65706310
50	2q24.2	2	FAP		protein_coding	closest	ENSG00000078098	835	chr2:160913222-162647041
50	2q24.2	2	GCA		protein_coding	candidate	ENSG00000115271	835	chr2:160913222-162647041
50	2q24.2	2	IFIH1		protein_coding	candidate;closest	ENSG00000115267	835	chr2:160913222-162647041
52	2q24.2	2	IFIH1		protein_coding	closest	ENSG00000115267	835	chr2:160913222-162647041
53	2q32.2	2	MFSD6		protein_coding	candidate	ENSG00000151690	851	chr2:189017339-191108631
53	2q32.2	2	NAB1		protein_coding	candidate	ENSG00000138386	851	chr2:189017339-191108631
53	2q32.2	2	NEMP2	TMEM194B	protein_coding	candidate	ENSG00000189362	851	chr2:189017339-191108631
53	2q32.2	2	NEMP2-DT		lncRNA	closest	ENSG00000233654	851	chr2:189017339-191108631
54	2q32.2	2	STAT1		protein_coding	candidate	ENSG00000115415	851	chr2:189017339-191108631
54	2q32.2	2	STAT4		protein_coding	candidate;closest	ENSG00000138378	851	chr2:189017339-191108631
55	2q32.3	2	ENSG00000288064		lncRNA	closest	ENSG00000288064	851	chr2:189017339-191108631
55	2q32.3	2	STAT4		protein_coding	closest	ENSG00000138378	851	chr2:189017339-191108631
59	2q34	2	ENSG00000273118		lncRNA	closest	ENSG00000273118	863	chr2:211514793-213149558
59	2q34	2	IKZF2		protein_coding	candidate;closest	ENSG00000030419	863	chr2:211514793-213149558
62	3p14.3	3	PXK		protein_coding	closest	ENSG00000168297	1008	chr3:58171792-60287177
63	3p14.3	3	ABHD6		protein_coding	candidate	ENSG00000163686	1008	chr3:58171792-60287177
63	3p14.3	3	KCTD6		protein_coding	closest	ENSG00000168301	1008	chr3:58171792-60287177
63	3p14.3	3	PDHB		protein_coding	closest	ENSG00000168291	1008	chr3:58171792-60287177
63	3p14.3	3	PXK		protein_coding	candidate;closest	ENSG00000168297	1008	chr3:58171792-60287177
65	3q13.33	3	ARHGAP31		protein_coding	candidate	ENSG00000031081	1042	chr3:118811404-120804208
65	3q13.33	3	B4GALT4		protein_coding	candidate	ENSG00000121578	1042	chr3:118811404-120804208
65	3q13.33	3	CD80		protein_coding	candidate	ENSG00000121594	1042	chr3:118811404-120804208
65	3q13.33	3	POGLUT1		protein_coding	candidate	ENSG00000163389	1042	chr3:118811404-120804208
65	3q13.33	3	TIMMDC1		protein_coding	closest	ENSG00000113845	1042	chr3:118811404-120804208
65	3q13.33	3	TMEM39A		protein_coding	closest	ENSG00000176142	1042	chr3:118811404-120804208
66	3q25.33	3	IL12A-AS1		lncRNA	closest	ENSG00000244040	1067	chr3:159760101-161806716
67	3q25.33	3	IL12A		protein_coding	candidate	ENSG00000168811	1067	chr3:159760101-161806716
67	3q25.33	3	IL12A-AS1		lncRNA	closest	ENSG00000244040	1067	chr3:159760101-161806716
69	3q28	3	LPP		protein_coding	candidate;closest	ENSG00000145012	1083	chr3:187172556-189138425
70	4p16.3	4	DGKQ		protein_coding	candidate;closest	ENSG00000145214	1092	chr4:700926-1476986
70	4p16.3	4	GAK		protein_coding	candidate	ENSG00000178950	1092	chr4:700926-1476986
70	4p16.3	4	IDUA		protein_coding	candidate	ENSG00000127415	1092	chr4:700926-1476986
79	4q24	4	BANK1		protein_coding	candidate;closest	ENSG00000153064	1157	chr4:99757203-102300199
86	5q21.1	5	ST8SIA4		protein_coding	candidate;closest	ENSG00000113532	1271	chr5:99925288-102243065
91	5q31.1	5	VDAC1		protein_coding	closest	ENSG00000213585	1292	chr5:132803957-135441711
92	5q31.1	5	CDKN2AIPNL		protein_coding	candidate	ENSG00000237190	1292	chr5:132803957-135441711
92	5q31.1	5	SKP1		protein_coding	candidate	ENSG00000113558	1292	chr5:132803957-135441711
92	5q31.1	5	TCF7		protein_coding	candidate	ENSG00000081059	1292	chr5:132803957-135441711
92	5q31.1	5	UBE2B		protein_coding	candidate	ENSG00000119048	1292	chr5:132803957-135441711
92	5q31.1	5	VDAC1		protein_coding	closest	ENSG00000213585	1292	chr5:132803957-135441711
96	5q33.1	5	TNIP1	ABIN1	protein_coding	candidate;closest	ENSG00000145901	1300	chr5:149283061-151181737
98	5q33.3	5	MIR146A	MIR3142HG	miRNA	candidate	ENSG00000283733	1306	chr5:159398690-160546937
98	5q33.3	5	MIR3142HG		lncRNA	closest	ENSG00000253522	1306	chr5:159398690-160546937
98	5q33.3	5	PTTG1		protein_coding	closest	ENSG00000164611	1306	chr5:159398690-160546937
102	6p22.3	6	ATXN1		protein_coding	closest	ENSG00000124788	1335	chr6:14802693-17386174
104	6p22.3	6	CMAHP		pseudogene	closest	ENSG00000168405	1341	chr6:24852047-25684359
106	6p22.2	6	CARMIL1		protein_coding	closest	ENSG00000079691	1341;1342	chr6:24852047-25684359;chr6:25684359-26791023
106	6p22.2	6	SLC17A3		protein_coding	closest	ENSG00000124564	1341;1342	chr6:24852047-25684359;chr6:25684359-26791023
106	6p22.2	6	SLC17A4		protein_coding	candidate;closest	ENSG00000146039	1341;1342	chr6:24852047-25684359;chr6:25684359-26791023
108	6p22.1	6	TRNA_Met		tRNA	closest		1343	chr6:26791023-28050041
110	6p22.1-6p21.32	6	C2		protein_coding	closest	ENSG00000166278	1345;1346;1347;1348	chr6:28949831-29770194;chr6:29770194-30830391;chr6:30830391-31603441;chr6:31603441-32714887
110	6p22.1-6p21.32	6	CFB		protein_coding	closest	ENSG00000243649	1345;1346;1347;1348	chr6:28949831-29770194;chr6:29770194-30830391;chr6:30830391-31603441;chr6:31603441-32714887
110	6p22.1-6p21.32	6	CSNK2B		protein_coding	closest	ENSG00000204435	1345;1346;1347;1348	chr6:28949831-29770194;chr6:29770194-30830391;chr6:30830391-31603441;chr6:31603441-32714887
110	6p22.1-6p21.32	6	ENSG00000232080		lncRNA	closest	ENSG00000232080	1345;1346;1347;1348	chr6:28949831-29770194;chr6:29770194-30830391;chr6:30830391-31603441;chr6:31603441-32714887
110	6p22.1-6p21.32	6	ENSG00000244255		protein_coding	closest	ENSG00000244255	1345;1346;1347;1348	chr6:28949831-29770194;chr6:29770194-30830391;chr6:30830391-31603441;chr6:31603441-32714887
110	6p22.1-6p21.32	6	ENSG00000263020		protein_coding	closest	ENSG00000263020	1345;1346;1347;1348	chr6:28949831-29770194;chr6:29770194-30830391;chr6:30830391-31603441;chr6:31603441-32714887
110	6p22.1-6p21.32	6	ENSG00000285647		lncRNA	closest	ENSG00000285647	1345;1346;1347;1348	chr6:28949831-29770194;chr6:29770194-30830391;chr6:30830391-31603441;chr6:31603441-32714887
110	6p22.1-6p21.32	6	HCG20		lncRNA	closest	ENSG00000228022	1345;1346;1347;1348	chr6:28949831-29770194;chr6:29770194-30830391;chr6:30830391-31603441;chr6:31603441-32714887
110	6p22.1-6p21.32	6	HLA-DQA1		protein_coding	closest	ENSG00000196735	1345;1346;1347;1348	chr6:28949831-29770194;chr6:29770194-30830391;chr6:30830391-31603441;chr6:31603441-32714887
110	6p22.1-6p21.32	6	HLA-DQB1		protein_coding	closest	ENSG00000179344	1345;1346;1347;1348	chr6:28949831-29770194;chr6:29770194-30830391;chr6:30830391-31603441;chr6:31603441-32714887
110	6p22.1-6p21.32	6	HLA-DRA		protein_coding	closest	ENSG00000204287	1345;1346;1347;1348	chr6:28949831-29770194;chr6:29770194-30830391;chr6:30830391-31603441;chr6:31603441-32714887
110	6p22.1-6p21.32	6	MAS1L		protein_coding	closest	ENSG00000204687	1345;1346;1347;1348	chr6:28949831-29770194;chr6:29770194-30830391;chr6:30830391-31603441;chr6:31603441-32714887
110	6p22.1-6p21.32	6	MICB-DT		lncRNA	closest	ENSG00000286940	1345;1346;1347;1348	chr6:28949831-29770194;chr6:29770194-30830391;chr6:30830391-31603441;chr6:31603441-32714887
110	6p22.1-6p21.32	6	MSH5		protein_coding	closest	ENSG00000204410	1345;1346;1347;1348	chr6:28949831-29770194;chr6:29770194-30830391;chr6:30830391-31603441;chr6:31603441-32714887
110	6p22.1-6p21.32	6	MSH5-SAPCD1		lncRNA	closest	ENSG00000255152	1345;1346;1347;1348	chr6:28949831-29770194;chr6:29770194-30830391;chr6:30830391-31603441;chr6:31603441-32714887
110	6p22.1-6p21.32	6	MUC21		protein_coding	closest	ENSG00000204544	1345;1346;1347;1348	chr6:28949831-29770194;chr6:29770194-30830391;chr6:30830391-31603441;chr6:31603441-32714887
110	6p22.1-6p21.32	6	NCR3		protein_coding	closest	ENSG00000204475	1345;1346;1347;1348	chr6:28949831-29770194;chr6:29770194-30830391;chr6:30830391-31603441;chr6:31603441-32714887
110	6p22.1-6p21.32	6	PSORS1C1		protein_coding	closest	ENSG00000204540	1345;1346;1347;1348	chr6:28949831-29770194;chr6:29770194-30830391;chr6:30830391-31603441;chr6:31603441-32714887
110	6p22.1-6p21.32	6	TNXB		protein_coding	closest	ENSG00000168477	1345;1346;1347;1348	chr6:28949831-29770194;chr6:29770194-30830391;chr6:30830391-31603441;chr6:31603441-32714887
110	6p22.1-6p21.32	6	TRIM39		protein_coding	closest	ENSG00000204599	1345;1346;1347;1348	chr6:28949831-29770194;chr6:29770194-30830391;chr6:30830391-31603441;chr6:31603441-32714887
110	6p22.1-6p21.32	6	TRIM39-RPP21		protein_coding	closest	ENSG00000248167	1345;1346;1347;1348	chr6:28949831-29770194;chr6:29770194-30830391;chr6:30830391-31603441;chr6:31603441-32714887
110	6p22.1-6p21.32	6	TSBP1		protein_coding	closest	ENSG00000204296	1345;1346;1347;1348	chr6:28949831-29770194;chr6:29770194-30830391;chr6:30830391-31603441;chr6:31603441-32714887
110	6p22.1-6p21.32	6	TSBP1-AS1		lncRNA	closest	ENSG00000225914	1345;1346;1347;1348	chr6:28949831-29770194;chr6:29770194-30830391;chr6:30830391-31603441;chr6:31603441-32714887
112	6p21.33	6	HLA-C		protein_coding	closest	ENSG00000204525	1347	chr6:30830391-31603441
112	6p21.33	6	LINC02571		lncRNA	closest	ENSG00000256166	1347	chr6:30830391-31603441
113	6p21.33	6	HLA-B		protein_coding	closest	ENSG00000234745	1347	chr6:30830391-31603441
115	6p21.33	6	HLA-C		protein_coding	candidate	ENSG00000204525	1347	chr6:30830391-31603441
115	6p21.33	6	MICB		protein_coding	closest	ENSG00000204516	1347	chr6:30830391-31603441
117	6p21.33	6	AIF1		protein_coding	closest	ENSG00000204472	1348	chr6:31603441-32714887
120	6p21.33	6	SLC44A4		protein_coding	closest	ENSG00000204385	1348	chr6:31603441-32714887
121	6p21.33-6p21.32	6	HLA-DQA1		protein_coding	closest	ENSG00000196735	1348	chr6:31603441-32714887
121	6p21.33-6p21.32	6	HLA-DRA		protein_coding	closest	ENSG00000204287	1348	chr6:31603441-32714887
121	6p21.33-6p21.32	6	SKIC2	SKIV2L	protein_coding	closest	ENSG00000204351	1348	chr6:31603441-32714887
124	6p21.33	6	TNXB		protein_coding	closest	ENSG00000168477	1348	chr6:31603441-32714887
127	6p21.32	6	NOTCH4		protein_coding	closest	ENSG00000204301	1348	chr6:31603441-32714887
131	6p21.32	6	HLA-DQB1		protein_coding	closest	ENSG00000179344	1348	chr6:31603441-32714887
131	6p21.32	6	HLA-DRA		protein_coding	closest	ENSG00000204287	1348	chr6:31603441-32714887
131	6p21.32	6	LOC102725019		lncRNA	closest		1348	chr6:31603441-32714887
144	6p21.32	6	HLA-DQB2		protein_coding	closest	ENSG00000232629	1349	chr6:32714887-33268720
148	6p21.31	6	BLTP3A	UHRF1BP1	protein_coding	candidate;closest	ENSG00000065060	1350	chr6:33268720-35487979
148	6p21.31	6	ILRUN		protein_coding	closest	ENSG00000196821	1350	chr6:33268720-35487979
148	6p21.31	6	ZNF76		protein_coding	candidate	ENSG00000065029	1350	chr6:33268720-35487979
149	6p21.31	6	BLTP3A	UHRF1BP1	protein_coding	candidate	ENSG00000065060	1350	chr6:33268720-35487979
149	6p21.31	6	SNRPC		protein_coding	closest	ENSG00000124562	1350	chr6:33268720-35487979
149	6p21.31	6	TCP11		protein_coding	closest	ENSG00000124678	1350	chr6:33268720-35487979
150	6p21.31	6	ANKS1A		protein_coding	closest	ENSG00000064999	1350	chr6:33268720-35487979
156	6q21	6	ATG5		protein_coding	closest	ENSG00000057663	1393	chr6:105608858-107129102
156	6q21	6	PRDM1		protein_coding	closest	ENSG00000057657	1393	chr6:105608858-107129102
157	6q21	6	ATG3		protein_coding	candidate	ENSG00000144848	1393	chr6:105608858-107129102
157	6q21	6	ATG5		protein_coding	candidate;closest	ENSG00000057663	1393	chr6:105608858-107129102
157	6q21	6	PRDM1		protein_coding	candidate	ENSG00000057657	1393	chr6:105608858-107129102
158	6q21	6	ATG5		protein_coding	candidate;closest	ENSG00000057663	1393	chr6:105608858-107129102
160	6q23.3	6	LINC03004		lncRNA	closest	ENSG00000230533	1413	chr6:137293081-138501492
160	6q23.3	6	OLIG3		protein_coding	candidate	ENSG00000177468	1413	chr6:137293081-138501492
161	6q23.3	6	ENSG00000287393		lncRNA	closest	ENSG00000287393	1413	chr6:137293081-138501492
161	6q23.3	6	TNFAIP3		protein_coding	candidate;closest	ENSG00000118503	1413	chr6:137293081-138501492
161	6q23.3	6	WAKMAR2	lnc-PERP-2;ENSG00000235842	lncRNA	candidate;closest	ENSG00000237499	1413	chr6:137293081-138501492
163	7p15.1	7	JAZF1		protein_coding	candidate;closest	ENSG00000153814	1457	chr7:25869935-28320690
164	7p12.2	7	ENSG00000231681		lncRNA	closest	ENSG00000231681	1470	chr7:49172682-51607626
165	7p12.2	7	C1QB		protein_coding	candidate	ENSG00000173369	1470	chr7:49172682-51607626
165	7p12.2	7	CLEC10A		protein_coding	candidate	ENSG00000132514	1470	chr7:49172682-51607626
165	7p12.2	7	CLEC4C		protein_coding	candidate	ENSG00000198178	1470	chr7:49172682-51607626
165	7p12.2	7	ENSG00000231681		lncRNA	closest	ENSG00000231681	1470	chr7:49172682-51607626
165	7p12.2	7	HERC5		protein_coding	candidate	ENSG00000138646	1470	chr7:49172682-51607626
165	7p12.2	7	IFI6		protein_coding	candidate	ENSG00000126709	1470	chr7:49172682-51607626
165	7p12.2	7	IFIT1		protein_coding	candidate	ENSG00000185745	1470	chr7:49172682-51607626
165	7p12.2	7	IKZF1		protein_coding	candidate	ENSG00000185811	1470	chr7:49172682-51607626
165	7p12.2	7	MX1		protein_coding	candidate	ENSG00000157601	1470	chr7:49172682-51607626
165	7p12.2	7	TNFRSF21		protein_coding	candidate	ENSG00000146072	1470	chr7:49172682-51607626
168	7q11.23	7	EIF4H		protein_coding	closest	ENSG00000106682	1482	chr7:73920272-76829247
177	7q11.23	7	ENSG00000273069		lncRNA	closest	ENSG00000273069	1482	chr7:73920272-76829247
177	7q11.23	7	GTF2I		protein_coding	candidate	ENSG00000263001	1482	chr7:73920272-76829247
177	7q11.23	7	NCF1		protein_coding	candidate;closest	ENSG00000158517	1482	chr7:73920272-76829247
177	7q11.23	7	VGF		protein_coding	candidate	ENSG00000128564	1482	chr7:73920272-76829247
187	7q32.1	7	IRF5		protein_coding	candidate;closest	ENSG00000128604	1512	chr7:127229167-129138332
188	7q32.1	7	IRF5		protein_coding	candidate;closest	ENSG00000128604	1512	chr7:127229167-129138332
188	7q32.1	7	TNPO3		protein_coding	closest	ENSG00000064419	1512	chr7:127229167-129138332
189	7q32.1	7	IRF5		protein_coding	candidate;closest	ENSG00000128604	1512	chr7:127229167-129138332
189	7q32.1	7	TNPO3		protein_coding	closest	ENSG00000064419	1512	chr7:127229167-129138332
189	7q32.1	7	TPI1P2		pseudogene	closest	ENSG00000230359	1512	chr7:127229167-129138332
191	8p23.1	8	BLK		protein_coding	candidate	ENSG00000136573	1544;1546;1547;1548	chr8:7295557-9297184;chr8:9783277-10605687;chr8:10605687-11421489;chr8:11421489-13634266
191	8p23.1	8	CLDN23		protein_coding	candidate	ENSG00000253958	1544;1546;1547;1548	chr8:7295557-9297184;chr8:9783277-10605687;chr8:10605687-11421489;chr8:11421489-13634266
191	8p23.1	8	ENSG00000270076		lncRNA	closest	ENSG00000270076	1544;1546;1547;1548	chr8:7295557-9297184;chr8:9783277-10605687;chr8:10605687-11421489;chr8:11421489-13634266
191	8p23.1	8	ENSG00000280294		other	closest	ENSG00000280294	1544;1546;1547;1548	chr8:7295557-9297184;chr8:9783277-10605687;chr8:10605687-11421489;chr8:11421489-13634266
191	8p23.1	8	ERI1		protein_coding	candidate	ENSG00000104626	1544;1546;1547;1548	chr8:7295557-9297184;chr8:9783277-10605687;chr8:10605687-11421489;chr8:11421489-13634266
191	8p23.1	8	FAM167A	C8orf13	protein_coding	candidate	ENSG00000154319	1544;1546;1547;1548	chr8:7295557-9297184;chr8:9783277-10605687;chr8:10605687-11421489;chr8:11421489-13634266
191	8p23.1	8	FAM167A-AS1		lncRNA	closest	ENSG00000184608	1544;1546;1547;1548	chr8:7295557-9297184;chr8:9783277-10605687;chr8:10605687-11421489;chr8:11421489-13634266
191	8p23.1	8	FAM86B3P		pseudogene	closest	ENSG00000173295	1544;1546;1547;1548	chr8:7295557-9297184;chr8:9783277-10605687;chr8:10605687-11421489;chr8:11421489-13634266
191	8p23.1	8	FDFT1		protein_coding	candidate	ENSG00000079459	1544;1546;1547;1548	chr8:7295557-9297184;chr8:9783277-10605687;chr8:10605687-11421489;chr8:11421489-13634266
191	8p23.1	8	LINC00208		lncRNA	closest	ENSG00000170983	1544;1546;1547;1548	chr8:7295557-9297184;chr8:9783277-10605687;chr8:10605687-11421489;chr8:11421489-13634266
191	8p23.1	8	MFHAS1		protein_coding	candidate;closest	ENSG00000147324	1544;1546;1547;1548	chr8:7295557-9297184;chr8:9783277-10605687;chr8:10605687-11421489;chr8:11421489-13634266
191	8p23.1	8	MSRA		protein_coding	closest	ENSG00000175806	1544;1546;1547;1548	chr8:7295557-9297184;chr8:9783277-10605687;chr8:10605687-11421489;chr8:11421489-13634266
191	8p23.1	8	PRAG1	SGK223	protein_coding	candidate;closest	ENSG00000275342	1544;1546;1547;1548	chr8:7295557-9297184;chr8:9783277-10605687;chr8:10605687-11421489;chr8:11421489-13634266
191	8p23.1	8	XKR6		protein_coding	closest	ENSG00000171044	1544;1546;1547;1548	chr8:7295557-9297184;chr8:9783277-10605687;chr8:10605687-11421489;chr8:11421489-13634266
192	8p23.1	8	BLK		protein_coding	candidate;closest	ENSG00000136573	1548	chr8:11421489-13634266
192	8p23.1	8	CLDN23		protein_coding	candidate	ENSG00000253958	1548	chr8:11421489-13634266
192	8p23.1	8	ENSG00000284957		lncRNA	closest	ENSG00000284957	1548	chr8:11421489-13634266
192	8p23.1	8	FAM167A	C8orf13	protein_coding	candidate;closest	ENSG00000154319	1548	chr8:11421489-13634266
192	8p23.1	8	FAM167A-AS1	C8orf12	lncRNA	candidate	ENSG00000184608	1548	chr8:11421489-13634266
192	8p23.1	8	FDFT1		protein_coding	candidate	ENSG00000079459	1548	chr8:11421489-13634266
192	8p23.1	8	LINC00208		lncRNA	candidate	ENSG00000170983	1548	chr8:11421489-13634266
194	8p23.1	8	CLDN23		protein_coding	candidate	ENSG00000253958	1548	chr8:11421489-13634266
194	8p23.1	8	CTSB		protein_coding	candidate;closest	ENSG00000164733	1548	chr8:11421489-13634266
194	8p23.1	8	FAM167A	C8orf13	protein_coding	candidate	ENSG00000154319	1548	chr8:11421489-13634266
194	8p23.1	8	FDFT1		protein_coding	candidate	ENSG00000079459	1548	chr8:11421489-13634266
197	8q12.1	8	LYN		protein_coding	closest	ENSG00000254087	1576	chr8:55033021-56043824
213	10q11.23	10	ENSG00000241577		lncRNA	closest	ENSG00000241577	163	chr10:46978910-49632869
213	10q11.23	10	WDFY4		protein_coding	candidate;closest	ENSG00000128815	163	chr10:46978910-49632869
214	10q21.2	10	ARID5B		protein_coding	candidate;closest	ENSG00000150347	173	chr10:61581937-64034354
221	11p15.5	11	CDHR5		protein_coding	closest	ENSG00000099834	217	chr11:70855-1192365
221	11p15.5	11	DRD4		protein_coding	closest	ENSG00000069696	217	chr11:70855-1192365
221	11p15.5	11	IRF7		protein_coding	candidate;closest	ENSG00000185507	217	chr11:70855-1192365
221	11p15.5	11	MIR210HG		lncRNA	closest	ENSG00000247095	217	chr11:70855-1192365
221	11p15.5	11	PHRF1		protein_coding	closest	ENSG00000070047	217	chr11:70855-1192365
222	11p15.5	11	PHRF1		protein_coding	closest	ENSG00000070047	217	chr11:70855-1192365
225	11p13	11	CD44		protein_coding	candidate	ENSG00000026508	239	chr11:33937192-35481057
225	11p13	11	CD44-DT		lncRNA	closest	ENSG00000255521	239	chr11:33937192-35481057
225	11p13	11	ENSG00000289526		lncRNA	closest	ENSG00000289526	239	chr11:33937192-35481057
225	11p13	11	PDHX		protein_coding	candidate	ENSG00000110435	239	chr11:33937192-35481057
227	11q13.1	11	AP5B1		protein_coding	closest	ENSG00000254470	252	chr11:64037097-66131160
227	11q13.1	11	MAP3K11		protein_coding	candidate	ENSG00000173327	252	chr11:64037097-66131160
227	11q13.1	11	PCNX3	PCNXL3	protein_coding	candidate	ENSG00000197136	252	chr11:64037097-66131160
227	11q13.1	11	RELA		protein_coding	candidate	ENSG00000173039	252	chr11:64037097-66131160
227	11q13.1	11	RNASEH2C		protein_coding	candidate	ENSG00000172922	252	chr11:64037097-66131160
227	11q13.1	11	SIPA1		protein_coding	candidate	ENSG00000213445	252	chr11:64037097-66131160
230	11q13.4	11	DHCR7		protein_coding	candidate	ENSG00000172893	256	chr11:71215246-72574973
230	11q13.4	11	NADSYN1		protein_coding	candidate;closest	ENSG00000172890	256	chr11:71215246-72574973
235	11q24.3	11	ETS1		protein_coding	candidate;closest	ENSG00000134954	296	chr11:128318642-130472680
235	11q24.3	11	FLI1		protein_coding	candidate	ENSG00000151702	296	chr11:128318642-130472680
236	11q24.3	11	ENSG00000288975		lncRNA	closest	ENSG00000288975	296	chr11:128318642-130472680
236	11q24.3	11	ETS1		protein_coding	candidate	ENSG00000134954	296	chr11:128318642-130472680
236	11q24.3	11	LOC101929538		lncRNA	closest		296	chr11:128318642-130472680
242	12q12	12	IRAK4		protein_coding	candidate	ENSG00000198001	327	chr12:41264784-43590671
242	12q12	12	LINC02450		lncRNA	closest	ENSG00000257114	327	chr12:41264784-43590671
242	12q12	12	PPHLN1		protein_coding	candidate	ENSG00000134283	327	chr12:41264784-43590671
242	12q12	12	PRICKLE1		protein_coding	candidate	ENSG00000139174	327	chr12:41264784-43590671
245	12q24.12	12	ATXN2		protein_coding	closest	ENSG00000204842	367	chr12:109898914-112825713
245	12q24.12	12	PTPN11		protein_coding	candidate	ENSG00000179295	367	chr12:109898914-112825713
245	12q24.12	12	SH2B3		protein_coding	candidate	ENSG00000111252	367	chr12:109898914-112825713
245	12q24.12	12	TRAFD1		protein_coding	candidate	ENSG00000135148	367	chr12:109898914-112825713
250	12q24.32-12q24.33	12	SLC15A4		protein_coding	candidate;closest	ENSG00000139370	379	chr12:128752752-129893376
251	12q24.33	12	SLC15A4		protein_coding	candidate;closest	ENSG00000139370	379	chr12:128752752-129893376
258	14q24.1	14	RAD51B		protein_coding	candidate;closest	ENSG00000182185	476	chr14:67525600-70665240
262	15q14	15	FAM98B		protein_coding	closest	ENSG00000171262	513	chr15:38238576-40091931
266	15q24.1-15q24.2	15	CSK		protein_coding	candidate;closest	ENSG00000103653	535	chr15:73336373-76106283
266	15q24.1-15q24.2	15	PPCDC		protein_coding	candidate	ENSG00000138621	535	chr15:73336373-76106283
266	15q24.1-15q24.2	15	SCAMP2		protein_coding	candidate	ENSG00000140497	535	chr15:73336373-76106283
266	15q24.1-15q24.2	15	SCAMP5		protein_coding	closest	ENSG00000198794	535	chr15:73336373-76106283
266	15q24.1-15q24.2	15	ULK3		protein_coding	candidate	ENSG00000140474	535	chr15:73336373-76106283
269	15q26.2	15	LINC02253		lncRNA	closest	ENSG00000259485	546	chr15:95598367-97487680
272	16p13.13	16	CIITA		protein_coding	candidate	ENSG00000179583	561	chr16:10332175-11426305
272	16p13.13	16	CLEC16A		protein_coding	candidate;closest	ENSG00000038532	561	chr16:10332175-11426305
272	16p13.13	16	SOCS1		protein_coding	candidate	ENSG00000185338	561	chr16:10332175-11426305
276	16p11.2	16	ENSG00000289930		lncRNA	closest	ENSG00000289930	574	chr16:29025292-31371622
276	16p11.2	16	ITGAM	CD11b	protein_coding	candidate;closest	ENSG00000169896	574	chr16:29025292-31371622
276	16p11.2	16	ITGAX		protein_coding	candidate;closest	ENSG00000140678	574	chr16:29025292-31371622
277	16p11.2	16	ITGAM		protein_coding	closest	ENSG00000169896	574	chr16:29025292-31371622
